Name,Category,Latitude,Longitude
Beach Garden Cafe,cafe,9.9650513,76.2388078
Bhagavathi Cafe,cafe,9.9569539,76.2542733
Burger Hut,cafe,9.9972025,76.3015431
Burger Spot,cafe,10.0281641,76.3053848
Café Crafters,cafe,9.9565008,76.2604001
Cafe Coffee Day,cafe,9.9658438,76.2418538
Cafe Coffee Day,cafe,9.9764703,76.2841114
Cafe Coffee Day,cafe,9.9633177,76.288018
Cafe Coffee Day,cafe,10.0131825,76.3630331
Cafe Vasco,cafe,9.9659009,76.2415208
Chaat Corner,cafe,10.0046639,76.305349
ChaiCofi,cafe,9.9917884,76.2931768
Cocoacraft Chocolate Factory,cafe,9.9865342,76.2766272
Costa Coffee,cafe,10.0273733,76.3083126
Cumbria The Lobby Lounge,cafe,9.9558162,76.2590182
David Hall,cafe,9.9650386,76.2393738
Dessert Mist,cafe,9.9576792,76.2515251
Dhe Kanjikkada,cafe,10.1010921,76.3482279
Elaf Snacks Kitchen,cafe,10.107063,76.3643587
Farmer's Café,cafe,9.9656332,76.241378
French Toast,cafe,9.9611136,76.2935942
Friends Cafe,cafe,9.9673955,76.244585
Indian Coffee House,cafe,9.9733575,76.2798591
Kashi art cafe,cafe,9.9665944,76.2433721
Lassi Shop,cafe,9.9946023,76.2923584
Loafers Corner Cafe,cafe,9.9658011,76.2420598
milma,cafe,10.041549,76.3287915
Mocha art cafe,cafe,9.9571619,76.259604
Nena's,cafe,9.9627881,76.2430516
Oys cafe,cafe,9.9665566,76.2428351
Oy's Cafe,cafe,9.9667546,76.2427861
Pai's Cool bar,cafe,9.957678,76.2514048
Scoops Ice Creams & Desserts,cafe,10.0257791,76.3065743
Solar Cafe,cafe,9.9681873,76.2517496
Sridhar Cafe,cafe,9.9794804,76.2764766
Tea Kochi,cafe,9.9604421,76.2588699
Tea Pot,cafe,9.9654881,76.2419781
Waffle House,cafe,9.9600573,76.2957231
Al Falah,fast_food,10.1484885,76.2283763
Anoop's Bakers,fast_food,9.9678047,76.2880173
Asoka Butter Store,fast_food,9.9682273,76.2855228
Bakery & Fruits Juice,fast_food,9.9680502,76.2843092
Bismi Fast Food,fast_food,10.1566837,76.3259973
Brothers Restaurant,fast_food,10.148993,76.2350308
Burger & More,fast_food,9.9680469,76.3138077
Burger spot,fast_food,10.0464543,76.3214678
Canteen,fast_food,10.016815,76.3425024
Cloud 7,fast_food,10.146738,76.2507265
Dominos Pizza,fast_food,10.0031251,76.3057739
Ernakulam District Panchayat Canteen,fast_food,10.0185961,76.3437428
Famous Bakers,fast_food,9.9677106,76.2880615
fast food,fast_food,10.1496071,76.2338861
Govt. canteen,fast_food,10.1483578,76.2306398
Heritage Bakery,fast_food,9.9684872,76.2857193
hotel,fast_food,10.0787776,76.3377926
Hotel Abhirami,fast_food,10.0617032,76.3230182
Hotel Aryaas,fast_food,9.9644758,76.2885328
Hotel Chanus,fast_food,9.9646998,76.2879965
Hotel Denny's,fast_food,9.9669014,76.3070407
Hotel Prabhath,fast_food,9.9661359,76.2885239
Indian Coffee House,fast_food,10.0176039,76.3443673
K R Bakes,fast_food,10.1487785,76.2297581
KRB,fast_food,10.1518009,76.1753101
Lijo's puttukada,fast_food,10.148578,76.2249988
Liya Tea Shop,fast_food,9.9864845,76.2834258
Majlis Hotel,fast_food,10.1492327,76.2348752
Manees hotel,fast_food,10.1077136,76.2619084
Matha Hotel and Fast Food,fast_food,9.9920734,76.281622
McDonald's,fast_food,10.0278448,76.3082245
McDonald's,fast_food,9.9807397,76.2833975
Mohanan Nair's Kada,fast_food,10.08532,76.2343025
Nair's puttum paripum,fast_food,10.0853528,76.2343336
Pai Dosa,fast_food,10.0299322,76.3049478
Pizza Hut,fast_food,9.9685174,76.2873849
Punchiri Hotel,fast_food,10.081488,76.3643521
Puttu kada,fast_food,10.1494086,76.2364958
Rappai's Fast food,fast_food,10.0022843,76.3056488
Sree Yadav Bhel Puri,fast_food,9.9591969,76.2554371
Subway,fast_food,9.9653726,76.295042
Sulu's Bakers,fast_food,9.9677812,76.288028
Ustad Hotel,fast_food,10.0892663,76.2082773
Village restaurant,fast_food,10.0570304,76.2914455
Zain Fast Food,fast_food,10.0816585,76.36448
Zam zam,fast_food,10.1496432,76.2240133
Lakshmi Chappathi Centre,food_court,9.989773,76.2821486
Royal Bakery and Food Court,food_court,10.0422209,76.3534496
Aadaminte Chayakkada,restaurant,10.1298799,76.3500409
Ali Baba & 41 Dishes,restaurant,9.9670719,76.2871148
Ali Baba Restaurants,restaurant,9.993427,76.2853721
Alibaba & 41 Dishes,restaurant,9.9596002,76.2961662
Alishan Restaurant,restaurant,9.9919153,76.2874898
Al-Maray,restaurant,9.9988327,76.296785
Ambatt Restaurant,restaurant,9.9783375,76.3340597
Amma,restaurant,9.9511382,76.3311282
Anandhas veg,restaurant,10.0259841,76.3064321
Annapurna,restaurant,9.9675512,76.244559
Anugraha Restuarant,restaurant,9.9678864,76.3179231
Appu Aur Pappu,restaurant,9.9654179,76.2940065
Arabian Fil Fil,restaurant,10.0429887,76.2989858
Arabian Grill,restaurant,10.0041069,76.3091517
Aruvi Natural Restaurant,restaurant,9.9821018,76.2845586
Aruvi Restaurant,restaurant,9.9879236,76.2792566
Arya Bhavan,restaurant,10.0552813,76.321528
Arya Bhavan,restaurant,9.968505,76.2877686
Aryas,restaurant,10.1704841,76.3729009
Ashok Bhavan,restaurant,9.9489309,76.292292
Atharva,restaurant,9.9577339,76.2561721
Atlanta Cafe n restaurant,restaurant,10.045228,76.2976849
B for Biryani Kochi.,restaurant,9.9628396,76.2546907
Balaji Restaurant,restaurant,9.9608309,76.2550946
Balos Restaurant,restaurant,9.9877455,76.2944441
Bambino Restaurant,restaurant,10.1079305,76.3569437
Barbeque Nation,restaurant,9.9830223,76.2821952
Beeranikka,restaurant,10.0616443,76.3497614
Beit Chabad ,restaurant,9.967284,76.242031
Beith Hotel,restaurant,10.0478572,76.3178239
Bimbis,restaurant,9.9784872,76.277013
Bimbi's Pure Vegetarian Hotel & Sweets,restaurant,9.9685809,76.2865135
Biriyani Hut,restaurant,10.0125268,76.3025613
Bluemoon Hotel,restaurant,10.0487277,76.3166962
Bread World,restaurant,10.0230938,76.341304
Brindavan,restaurant,10.0024798,76.3070167
Brindavan Restaurant,restaurant,10.0030524,76.3069322
Cafe Cuba,restaurant,9.9671852,76.2434435
Carnival Food Court,restaurant,10.0176879,76.3513032
Carnival Food Court,restaurant,10.1616841,76.3650548
Casa Linda,restaurant,9.966658,76.2455688
Caza Maria,restaurant,9.9586771,76.2595398
Chariot Restaurant,restaurant,9.9764192,76.2835801
Chic King,restaurant,10.0034835,76.3085617
Chicago Revolving Restaurant,restaurant,9.9784097,76.2855527
Chilli Restaurant,restaurant,10.1572688,76.3924697
Chillies,restaurant,10.1606149,76.3612836
Chiyang,restaurant,9.9858679,76.28105
Chopstick Thai,restaurant,10.0041439,76.3101656
Chunkam Restaurant,restaurant,10.1567951,76.3262765
Cinema Cafe,restaurant,9.9883345,76.2796824
Cinnamon,restaurant,9.964779,76.2411123
City Light,restaurant,9.9644086,76.2456537
Colombo,restaurant,9.9736706,76.2808261
Container Cafe,restaurant,10.0260416,76.3063897
Cook your fish,restaurant,9.9671597,76.2435228
Cuba Cafe,restaurant,9.9672023,76.2432536
Dal Roti,restaurant,9.9640157,76.2398159
De-Paris,restaurant,9.9456345,76.2551757
Dhe Puttu,restaurant,10.0203387,76.3107871
Domino's,restaurant,10.003008,76.3059385
Domino's,restaurant,9.9640517,76.3181681
Dominos,restaurant,9.9606434,76.2889753
dosa and pancakes,restaurant,9.9687342,76.2499043
Dosa Hub Restaurant,restaurant,10.1955796,76.3863669
east India cafe,restaurant,9.9670638,76.2525243
East Indies,restaurant,9.9647989,76.2388846
Eat'n'Pack,restaurant,9.9642981,76.2456082
Engineers Mess,restaurant,9.9442368,76.2851873
Enkay Restaurant,restaurant,9.996189,76.2804614
Erivum Puliyum,restaurant,9.9848168,76.2765922
Febina,restaurant,9.9586543,76.2449884
Fish n Chips,restaurant,9.964454,76.24319
Food Court,restaurant,9.9653209,76.2384912
French Toast Cafe,restaurant,9.9878571,76.2824873
Frys,restaurant,9.9837669,76.2834896
Fusion Bay,restaurant,9.9657064,76.2437358
Fusion Bay,restaurant,9.9654507,76.2436563
Gausiya,restaurant,10.0259405,76.3064728
Ginger House Restaurant,restaurant,9.9567936,76.2607899
Gokul Ootupura,restaurant,9.9574251,76.2964776
Golden Fork,restaurant,10.0049729,76.3137921
Gopika Residency,restaurant,10.0875327,76.2678122
hotel,restaurant,10.1483518,76.2460235
Hotel A1,restaurant,9.9655965,76.2398267
Hotel Classic,restaurant,9.9922152,76.2859228
Hotel Cochin Fort Fish Restaurant,restaurant,9.9680178,76.2454509
Hotel Lucky Star,restaurant,9.9641322,76.2455538
Hotel Moms Kitchen,restaurant,9.9892475,76.2657832
Hotel Paradise,restaurant,10.0285196,76.3099997
Hotel Raghavendra,restaurant,9.95338,76.3408782
Hotel Sagar,restaurant,10.1072798,76.3564057
Hotel Saraswathy Bhavan,restaurant,9.9773213,76.2769728
Hotel Saravana Bhavan,restaurant,9.9847576,76.2767021
Ice Cream Parlour,restaurant,9.9578267,76.24492
Iftar,restaurant,10.111085,76.3493468
Indian Coffee House Angamaly,restaurant,10.1956934,76.3862024
Kalancherry retreat,restaurant,9.8904699,76.2769985
Kalavara Hotel,restaurant,10.0251018,76.30727
Kalyan Restaurant,restaurant,9.9873996,76.2764012
Kavitha Hotel,restaurant,10.1054807,76.3584335
"Kayees Biryani, Mattancherry",restaurant,9.9627532,76.2547019
Kerala Cafe,restaurant,9.9672179,76.2431551
KFC,restaurant,9.9777266,76.3168126
Khrisna Kripa Seafood,restaurant,9.9647879,76.2434359
Khubuz,restaurant,10.0538542,76.3280923
