Name,Category,Latitude,Longitude,scalerank
Amigo Stores Bakery & Coolbar,Bakery,9.9944898,76.2919279,2
Ammas,Bakery,10.1488555,76.2294893,2
Anu Bakery,Bakery,10.1038536,76.2945047,2
Bake my day,Bakery,9.9660537,76.2969265,2
Best bakers,Bakery,10.0479616,76.2953257,2
Bread World,Bakery,9.9719705,76.3020891,2
Chaitram,Bakery,10.1190186,76.3430789,2
Chocolate bake house,Bakery,9.9960974,76.2804062,2
Geo bakery,Bakery,10.1444263,76.2257614,2
Jaya's Bakery,Bakery,10.0027492,76.306035,2
Kamala,Bakery,10.1490046,76.2328328,2
Kayees Bakery & Juice Shop,Bakery,10.0811705,76.3645305,2
Kochara Bakery,Bakery,10.0815792,76.3643548,2
KR Bakery,Bakery,10.0313245,76.3116627,2
Menachery Bakery,Bakery,10.1122353,76.2601927,2
Nasar Bakers,Bakery,10.1491079,76.2338974,2
Navya Bakery,Bakery,10.1444736,76.2265347,2
New Grand Bakery and Sweets,Bakery,9.9640686,76.2455483,2
Paal Ice,Bakery,9.9922053,76.2929914,2
Passage Malabar,Bakery,9.9647354,76.2411022,2
Puthussery,Bakery,10.1560685,76.3539549,2
Royal Bakery,Bakery,9.998759,76.2965324,2
Shaan Bakery,Bakery,10.003212,76.307323,2
Sree Vinayaka Chips and bakery,Bakery,10.1488064,76.2242689,2
Super Bakers,Bakery,9.9971091,76.2914095,2
Taste 'N' See Bakery,Bakery,9.964162,76.2456597,2
