route_id,trip_id,service_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
FOU01,TRIP0001,0,,,0,,,,
FOD01,TRIP0002,0,,,0,,,,
FOU01,TRIP0003,0,,,0,,,,
FOD01,TRIP0004,0,,,0,,,,
FOU01,TRIP0005,0,,,0,,,,
FOD01,TRIP0006,0,,,0,,,,
FOU01,TRIP0007,0,,,0,,,,
FOD01,TRIP0008,0,,,0,,,,
FOU01,TRIP0009,0,,,0,,,,
FOD01,TRIP0010,0,,,0,,,,
FOU01,TRIP0011,0,,,0,,,,
FOD01,TRIP0012,0,,,0,,,,
FOU01,TRIP0013,0,,,0,,,,
FOD01,TRIP0014,0,,,0,,,,
FOU01,TRIP0015,0,,,0,,,,
FOD01,TRIP0016,0,,,0,,,,
FOU02,TRIP0017,0,,,0,,,,
FOU03,TRIP0018,0,,,0,,,,
FOU04,TRIP0019,0,,,0,,,,
FOD04,TRIP0020,0,,,0,,,,
FOU04,TRIP0021,0,,,0,,,,
FOD04,TRIP0022,0,,,0,,,,
FOD03,TRIP0023,0,,,0,,,,
FOD02,TRIP0024,0,,,0,,,,
FOU05,TRIP0025,0,,,0,,,,
FOU06,TRIP0026,0,,,0,,,,
FOD05,TRIP0027,0,,,0,,,,
FOU08,TRIP0028,0,,,0,,,,
FOU09,TRIP0029,0,,,0,,,,
FOD09,TRIP0030,0,,,0,,,,
FOU09,TRIP0031,0,,,0,,,,
FOD09,TRIP0032,0,,,0,,,,
FOU09,TRIP0033,0,,,0,,,,
FOD09,TRIP0034,0,,,0,,,,
FOD07,TRIP0035,0,,,0,,,,
FOU07,TRIP0036,0,,,0,,,,
FOD07,TRIP0037,0,,,0,,,,
FOU07,TRIP0038,0,,,0,,,,
FOD08,TRIP0039,0,,,0,,,,
FOU08,TRIP0040,0,,,0,,,,
FOU09,TRIP0041,0,,,0,,,,
FOD09,TRIP0042,0,,,0,,,,
FOU09,TRIP0043,0,,,0,,,,
FOD09,TRIP0044,0,,,0,,,,
FOU09,TRIP0045,0,,,0,,,,
FOD09,TRIP0046,0,,,0,,,,
FOU09,TRIP0047,0,,,0,,,,
FOD09,TRIP0048,0,,,0,,,,
FOU10,TRIP0049,0,,,0,,,,
FOU11,TRIP0050,0,,,0,,,,
FOD11,TRIP0051,0,,,0,,,,
FOU11,TRIP0052,0,,,0,,,,
FOD11,TRIP0053,0,,,0,,,,
FOU11,TRIP0054,0,,,0,,,,
FOD11,TRIP0055,0,,,0,,,,
FOU11,TRIP0056,0,,,0,,,,
FOU12,TRIP0057,0,,,0,,,,
FOD12,TRIP0058,0,,,0,,,,
FOU13,TRIP0059,0,,,0,,,,
FOU18,TRIP0060,0,,,0,,,,
FOU11,TRIP0061,0,,,0,,,,
FOD11,TRIP0062,0,,,0,,,,
FOU11,TRIP0063,0,,,0,,,,
FOU14,TRIP0064,0,,,0,,,,
FOD14,TRIP0065,0,,,0,,,,
FOD11,TRIP0066,0,,,0,,,,
FOU11,TRIP0067,0,,,0,,,,
FOD11,TRIP0068,0,,,0,,,,
FOD10,TRIP0069,0,,,0,,,,
FOU09,TRIP0070,0,,,0,,,,
FOD09,TRIP0071,0,,,0,,,,
FOD16,TRIP0072,0,,,0,,,,
FOU15,TRIP0073,0,,,0,,,,
FOD08,TRIP0074,0,,,0,,,,
FOU07,TRIP0075,0,,,0,,,,
FOD08,TRIP0076,0,,,0,,,,
FOU08,TRIP0077,0,,,0,,,,
FOD08,TRIP0078,0,,,0,,,,
FOU08,TRIP0079,0,,,0,,,,
FOD08,TRIP0080,0,,,0,,,,
FOU08,TRIP0081,0,,,0,,,,
FOD08,TRIP0082,0,,,0,,,,
FOU08,TRIP0083,0,,,0,,,,
FOD07,TRIP0084,0,,,0,,,,
FOU08,TRIP0085,0,,,0,,,,
FOD08,TRIP0086,0,,,0,,,,
FOU08,TRIP0087,0,,,0,,,,
FOD08,TRIP0088,0,,,0,,,,
FOU08,TRIP0089,0,,,0,,,,
FOD07,TRIP0090,0,,,0,,,,
FOU08,TRIP0091,0,,,0,,,,
FOD07,TRIP0092,0,,,0,,,,
FOU07,TRIP0093,0,,,0,,,,
FOD07,TRIP0094,0,,,0,,,,
FOU07,TRIP0095,0,,,0,,,,
FOD08,TRIP0096,0,,,0,,,,
FOU08,TRIP0097,0,,,0,,,,
FOD08,TRIP0098,0,,,0,,,,
FOU08,TRIP0099,0,,,0,,,,
FOD17,TRIP0100,0,,,0,,,,
FOU17,TRIP0101,0,,,0,,,,
FOD17,TRIP0102,0,,,0,,,,
FOU17,TRIP0103,0,,,0,,,,
FOD17,TRIP0104,0,,,0,,,,
FOU17,TRIP0105,0,,,0,,,,
FOD15,TRIP0106,0,,,0,,,,
FOU17,TRIP0107,0,,,0,,,,
FOD17,TRIP0108,0,,,0,,,,
FOU17,TRIP0109,0,,,0,,,,
FOD17,TRIP0110,0,,,0,,,,
FOU17,TRIP0111,0,,,0,,,,
FOD07,TRIP0112,0,,,0,,,,
FOU07,TRIP0113,0,,,0,,,,
FOD15,TRIP0114,0,,,0,,,,
FOU17,TRIP0115,0,,,0,,,,
FOD15,TRIP0116,0,,,0,,,,
FOU19,TRIP0117,0,,,0,,,,
FOD19,TRIP0118,0,,,0,,,,
FOU17,TRIP0119,0,,,0,,,,
FOD17,TRIP0120,0,,,0,,,,
FOU17,TRIP0121,0,,,0,,,,
FOD17,TRIP0122,0,,,0,,,,
FOU17,TRIP0123,0,,,0,,,,
FOD07,TRIP0124,0,,,0,,,,
FOU07,TRIP0125,0,,,0,,,,
FOD07,TRIP0126,0,,,0,,,,
FOU07,TRIP0127,0,,,0,,,,
FOU09,TRIP0128,0,,,0,,,,
FOD09,TRIP0129,0,,,0,,,,
FOU09,TRIP0130,0,,,0,,,,
FOD20,TRIP0131,0,,,0,,,,
FOU09,TRIP0132,0,,,0,,,,
